post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,73,24,simple10,2026-04-03T10:49:41.245737,0.32432432432432434,False
47562342,Digitizing photos from the 1998 Game Boy Camera,sports,68,15,rockbruno,2026-04-03T10:49:50.690413,0.21739130434782608,False
47575403,CodingFont: A game to help you pick a coding font,sports,491,236,nvahalik,2026-04-03T10:50:41.614791,0.4796747967479675,True
47607775,"""Special 301"" Comments on Nintendo Game Piracy in Asia and Latin America (1994)",sports,7,0,Lammy,2026-04-03T10:51:06.650847,0.0,False
47619581,Pinterest said he violated laid-off colleagues' privacy. Now he's going public,sports,6,0,ghibli_goblin,2026-04-03T10:51:13.953997,0.0,False
47556033,rpg.actor Game Jam,sports,80,6,Kye,2026-04-03T10:52:27.593009,0.07407407407407407,False
47604155,SpaceX files to go public,science,386,558,nutjob2,2026-04-03T10:53:38.848939,1.441860465116279,True
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,39,6,ruevs,2026-04-03T10:54:01.608286,0.15,False
47620442,NASA: Artemis II Real time tracking with multiple views,science,10,0,ColinWright,2026-04-03T10:54:09.171636,0.0,False
47572878,How-to guide: Commissioning a Sensor Physics R&D Lab,science,41,4,MagneLauritzen,2026-04-03T10:54:27.331330,0.09523809523809523,False
47578086,Vulnerability research is cooked,science,255,168,pedro84,2026-04-03T10:54:32.999874,0.65625,True
47588349,GitHub Monaspace Case Study,science,146,49,homebrewer,2026-04-03T10:54:34.197259,0.3333333333333333,False
47586614,Open source CAD in the browser (Solvespace),science,369,125,phkahler,2026-04-03T10:54:40.887271,0.33783783783783783,True
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-03T10:55:05.427935,0.3076923076923077,False
47548164,"Researchers find 3,500-year-old loom that reveals textile revolution",science,132,20,geox,2026-04-03T10:55:12.432451,0.15037593984962405,False
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,91,16,AustinDev,2026-04-03T10:55:25.806258,0.17391304347826086,False
47617027,A forecast of the fair market value of SpaceX's businesses,science,97,185,ddp26,2026-04-03T10:55:30.161771,1.8877551020408163,False
47612775,The SpaceX IPO: retail investor notes,science,92,91,u1hcw9nx,2026-04-03T10:55:46.359580,0.978494623655914,False
47564579,The rise and fall of IBM's 4 Pi aerospace computers: an illustrated history,science,100,25,zdw,2026-04-03T10:56:19.153009,0.24752475247524752,False
47585860,"In Expanding de Sitter Space, Quantum Mechanics Gets More Elusive",science,32,2,pseudolus,2026-04-03T10:56:25.827664,0.06060606060606061,False
47621934,SpaceX has held talks with Saudi fund for $5B investment in IPO,science,9,4,geox,2026-04-03T10:56:26.417286,0.4,False
47570650,Stanford study reveals AI vision models invent images they never see,science,45,0,LionTurtle13,2026-04-03T10:56:58.163617,0.0,False
47546911,Capability-Based Security for Redox: Namespace and CWD as Capabilities,science,65,9,ejplatzer,2026-04-03T10:57:56.000671,0.13636363636363635,False
47560959,Show HN: Home Maker: Declare Your Dev Tools in a Makefile,entertainment,12,7,sthottingal,2026-04-03T10:58:08.179418,0.5384615384615384,False
47621438,Show HN: Made a little Artemis II tracker,entertainment,67,29,codingmoh,2026-04-03T10:58:17.850637,0.4264705882352941,False
47612601,"Sweden goes back to basics, swapping screens for books in the classroom",entertainment,780,391,novaRom,2026-04-03T10:58:21.579290,0.5006402048655569,True
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,33,18,Realman78,2026-04-03T10:58:26.448136,0.5294117647058824,False
47618247,Show HN: SyNumpy – a Header only C++17 library for working with NumPy Arrays,entertainment,16,2,symisc_devel,2026-04-03T10:58:37.310274,0.11764705882352941,False
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,92,52,rdme,2026-04-03T10:58:41.526741,0.5591397849462365,False
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,141,110,kasparnoor,2026-04-03T10:58:45.166399,0.7746478873239436,False
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,59,4,nemoniac,2026-04-03T10:58:48.738666,0.06666666666666667,False
47571183,Show HN: CLI to order groceries via reverse-engineered REWE API (Haskell),entertainment,197,80,wazHFsRy,2026-04-03T10:59:05.147942,0.40404040404040403,True
47557921,Show HN: Git bayesect – Bayesian Git bisection for non-deterministic bugs,entertainment,328,43,hauntsaninja,2026-04-03T10:59:06.927582,0.13069908814589665,True
47574871,"Show HN: Zerobox – Sandbox any command with file, network, credential controls",entertainment,136,90,afshinmeh,2026-04-03T10:59:21.977746,0.656934306569343,False
47613156,ReactOS Shows Improved Stability and 64-Bit Support at Chemnitz Linux Days 2026,entertainment,67,23,jeditobe,2026-04-03T10:59:28.805268,0.3382352941176471,False
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,197,56,tjgreen,2026-04-03T10:59:30.023595,0.2828282828282828,True
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",entertainment,417,153,PrismML,2026-04-03T10:59:37.213993,0.3660287081339713,True
47616475,Haunting Photos Show the Aftermath of the Kursk Submarine Disaster in 2000,entertainment,28,0,mooreds,2026-04-03T10:59:49.692909,0.0,False
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,entertainment,82,45,coolwulf,2026-04-03T10:59:52.130962,0.5421686746987951,False
47594804,Show HN: Claude Code rewritten as a bash script,entertainment,52,16,rpst,2026-04-03T11:00:14.483706,0.3018867924528302,False
47566143,My MacBook keyboard is broken and it's insanely expensive to fix,entertainment,381,535,TobiasBerg,2026-04-03T11:00:22.943783,1.4005235602094241,True
